topic,answer_type,problem,expected_answer
Science and technology,Person,Who received the IEEE Frank Rosenblatt Award in 2010?,Michio Sugeno
Science and technology,Person,Who was awarded the Oceanography Society's Jerlov Award in 2018?,Annick Bricaud
Geography,Place,"What's the name of the women's liberal arts college in Cambridge, Massachusetts?",Radcliffe College
Sports,Person,In whose honor was the Leipzig 1877 tournament organized?,Adolf Anderssen
Art,Person,"According to Karl Küchler, what did Empress Elizabeth of Austria's favorite sculpture depict, which was made for her villa Achilleion at Corfu?",Poet Henrich Heine.
Politics,Number,"How much money, in euros, was the surgeon held responsible for Stella Obasanjo's death ordered to pay her son?","1,20,000"
Politics,Date,"What were the month and year when Obama told Christianity Today, ""I am a Christian, and I am a devout Christian. I believe in the redemptive death and resurrection of Jesus Christ""?",Jan-08
Politics,Person,"Who appointed the Chief Justice of India, Mirza Hameedullah Beg, in 1977?",Fakhruddin Ali Ahmed
Politics,Person,What is the name of the former Prime Minister of Iceland who worked as a cabin crew member until 1971?,Jóhanna Sigurðardóttir
Politics,Person,To whom did Mehbooba Mufti Sayed contest the 2019 Lok Sabha elections and lose?,Hasnain Masoodi
Sports,Number,"How many fouls did Inter commit in the Champions League final match between Bayern and Inter on May 23, 2010?",13
Other,Date,What year did the Lego part with ID gal56 first release?,2002
Science and technology,Date,In which year did the Japanese scientist Koichi Mizushima receive the Kato Memorial Prize?,1999
Art,Date,In which year did Melbourne's Monash Gallery of Art (MGA) rebrand and become the Museum of Australian Photography (MAPh)?,2023
Politics,Other,"Who requested the Federal Aviation Administration (FAA) implement a 900 sq mi (2,300 km2) temporary flight restriction zone over the operations areas of the Deepwater Horizon?",The Coast Guard
Art,Other,What signature piece of the MOBA did Scott Wilson discover on the curb between two trash cans?,Lucy in the Field with Flowers
Sports,Person,"What player scored all the conversions for Spain in the rugby match between Spain and Romania that was part of the 2022 Rugby Europe Championship on February 27, 2022?",Manuel Ordas
TV shows,Person,"What is the surname of the psychiatrist who prescribes medication for Marie Hanson for her periodic blackouts in Season 1, Episode 20 of Ally McBeal?",Peters
,,What is the British-American kickboxer Andrew Tate's kickboxing name?,King cobra
Politics,Other,What position was John Gilbert Layton appointed to in Quebec from 1969 until 1970?, Quebec Youth Parliament prime minister
Science and technology,Person,Who won the Gerard P. Kuiper Prize in 2001?,Bruce W. Hapke
Other,Person,"Which streamer won the ""Best VTuber Streamer"" award at The Streamer Awards in 2022?",CodeMiko
TV shows,Other,"What did Daemon Targaryen say to Rhaenyra about living life in fear in Episode 4, Season 1 of House of the Dragon?","You cannot live your life in fear, or you will forsake the best parts of it."
TV shows,Other,On which U.S. TV station did the Canadian reality series *To Serve and Protect* debut?,KVOS-TV
Music,Other,"What instrument did Alec Aitken play well enough for a professional musician to remark, ""Aitken is the most accomplished amateur musician I have ever known""?",Violin
Politics,Date,"On what day, month, and year did Tara Chand (a politician and a Dalit leader from Jammu and Kashmir) resign from the Indian National Congress in support of Ghulam Nabi Azad?","August 30, 2022"
Sports,Number,What was the strike rate of Harbhajan Singh in the final match of IPL 2015?,200
Other,Place,"In the lore of Dungeons and Dragons, what is the name of the fortress in the Astral Plane used as a lair by the red great wyrm Ashardalon?",Bastion of Unborn Souls
